id,level,topic,title,metric_status,lexical_flags,editorial_result,action,evidence_terms,editorial_note
s425,1,Nature and animals,A Frog in the Pond,vocabulary-review,low-frequency,approved-after-review,retain-topic-vocabulary,frog; pond; catches; eats; frogs; jumps; rests; sings; splash; swims,単一の頻度指標のみ超過。固有の動植物名・科学語・文化語など、題材の核となる語を反復または説明のある文脈で維持。
s426,2,Nature and animals,The Busy Squirrel,vocabulary-review,very-low-frequency,approved-after-review,retain-topic-vocabulary,acorns,単一の頻度指標のみ超過。固有の動植物名・科学語・文化語など、題材の核となる語を反復または説明のある文脈で維持。
s427,3,Nature and animals,How Snails Move,vocabulary-review,low-frequency,approved-after-review,retain-topic-vocabulary,snails; slime; crawl; friction; glide; muscular; reduces; slippery; snail,単一の頻度指標のみ超過。固有の動植物名・科学語・文化語など、題材の核となる語を反復または説明のある文脈で維持。
s428,4,Nature and animals,Why Peacocks Show Their Feathers,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s429,5,Nature and animals,The Octopus That Hides in a Shell,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s430,6,Nature and animals,Bird That Flies Without Landing,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s431,7,Nature and animals,Fish That Changes Color at Night,vocabulary-review,low-frequency,approved-after-review,retain-topic-vocabulary,coloration; daylight; nighttime; reef; attracting; blotchy; brightly; camouflage; chromatophores; coral,単一の頻度指標のみ超過。固有の動植物名・科学語・文化語など、題材の核となる語を反復または説明のある文脈で維持。
s432,8,Nature and animals,The Insect That Looks Like a Twig,vocabulary-review,low-frequency,approved-after-review,retain-topic-vocabulary,camouflage; convincing; predators; twigs; adaptations; camouflaged; disguise; distinguish; disturbed; evolutionary,単一の頻度指標のみ超過。固有の動植物名・科学語・文化語など、題材の核となる語を反復または説明のある文脈で維持。
s433,9,Nature and animals,Coral That Builds an Entire Reef,vocabulary-review,low-frequency,approved-after-review,retain-topic-vocabulary,reefs; coral; polyps; accumulated; biodiversity; bodied; calcium; carbonate; centimeters; collectively,単一の頻度指標のみ超過。固有の動植物名・科学語・文化語など、題材の核となる語を反復または説明のある文脈で維持。
s434,10,Nature and animals,Microbe That Lives in Boiling Water,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s435,1,World affairs,A New Road,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s436,2,World affairs,Town Meeting,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s437,3,World affairs,A Well for the Village,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s438,4,World affairs,The Shared Garden,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s439,5,World affairs,City That Recycles Everything,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s440,6,World affairs,Village That Trades Skills Instead of Money,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s441,7,World affairs,The Town With Free Bicycles,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s442,8,World affairs,Region That Shares a Language School,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s443,9,World affairs,Nation That Funds Small Inventions,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s444,10,World affairs,The Council That Meets in Every Village Once a Year,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s445,1,Everyday life,A Quiet Morning,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s446,2,Everyday life,Missing Sock,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s447,3,Everyday life,A Trip to Grandma's,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s448,4,Everyday life,Broken Umbrella,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s449,5,Everyday life,Note on the Fridge,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s450,6,Everyday life,The Borrowed Book,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s451,7,Everyday life,Empty Chair at Dinner,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s452,8,Everyday life,Recipe Written in the Margins,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s453,9,Everyday life,The Silence After the Kids Left Home,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s454,10,Everyday life,Letter Kept in a Drawer for Years,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s455,1,History,Old Well,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s456,2,History,A Village Fire,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s457,4,History,First Map,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s458,4,History,Long Winter,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s459,5,History,The Messenger's Horse,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s460,6,History,Coin From a Lost Kingdom,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s461,7,History,Scholar's Hidden Notes,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s462,8,History,The Treaty Signed in the Rain,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s463,9,History,General Who Refused to Fight,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s464,10,History,City Buried Under Sand,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s465,1,Science,Why We Blink,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s466,2,Science,How Soap Bubbles Form,vocabulary-review,very-low-frequency,approved-after-review,retain-topic-vocabulary,soapy,単一の頻度指標のみ超過。固有の動植物名・科学語・文化語など、題材の核となる語を反復または説明のある文脈で維持。
s467,3,Science,Why Metal Feels Cold,vocabulary-review,low-frequency,approved-after-review,retain-topic-vocabulary,colder; spoon; conducts; disappearing; efficiently; hand's; sensations; touches; warmth,単一の頻度指標のみ超過。固有の動植物名・科学語・文化語など、題材の核となる語を反復または説明のある文脈で維持。
s468,4,Science,How Volcanoes Erupt,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s469,5,Science,Why the Ocean Is Salty,vocabulary-review,low-frequency,approved-after-review,retain-topic-vocabulary,dissolved; freshwater; accumulating; comparatively; continuously; countless; dissolves; distinctly; evaporate; evaporates,単一の頻度指標のみ超過。固有の動植物名・科学語・文化語など、題材の核となる語を反復または説明のある文脈で維持。
s470,6,Science,How Bats See in the Dark,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s471,7,Science,The Chemistry of Rust,vocabulary-review,low-frequency,approved-after-review,retain-topic-vocabulary,rust; molecules; accelerate; atoms; brittle; chemically; coating; coatings; damaging; deterioration,単一の頻度指標のみ超過。固有の動植物名・科学語・文化語など、題材の核となる語を反復または説明のある文脈で維持。
s472,8,Science,Why Some Stars Twinkle,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s473,9,Science,Physics of a Soap Bubble's Colors,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s474,10,Science,The Biology of Why Wounds Heal,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s475,1,Famous books,The Fox and the Grapes,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s476,2,Famous books,Hansel and Gretel,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s477,3,Famous books,Alice Drinks from the Little Bottle,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s478,4,Famous books,Jim Finds the Treasure Map,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s479,5,Famous books,Jo Sells Her First Stories,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s480,6,Famous books,Edmond Dantès Is Betrayed,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s481,7,Famous books,The Final Chase,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s482,8,Famous books,The Count Begins His Revenge,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s483,9,Famous books,Ahab's Obsession Takes Command,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s484,10,Famous books,"Pride and Prejudice: Judgment, Marriage, and Class",within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s485,1,Fantasy/stories,Sleepy Moon,vocabulary-review,low-frequency,approved-after-review,retain-topic-vocabulary,sings; sleepy; smiles,単一の頻度指標のみ超過。固有の動植物名・科学語・文化語など、題材の核となる語を反復または説明のある文脈で維持。
s486,2,Fantasy/stories,The Garden That Grew at Night,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s487,3,Fantasy/stories,Door With No Handle,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s488,4,Fantasy/stories,Umbrella That Changed the Weather,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s489,5,Fantasy/stories,The Tailor's Thread of Patience,vocabulary-review,low-frequency,approved-after-review,retain-topic-vocabulary,admitting; calmed; calmer; commissioned; drawer; garments; judged; mentor; seams; sparingly,単一の頻度指標のみ超過。固有の動植物名・科学語・文化語など、題材の核となる語を反復または説明のある文脈で維持。
s490,6,Fantasy/stories,Postman Who Delivered Dreams,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s491,7,Fantasy/stories,Cartographer Who Drew Feelings Instead of Land,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,emotional; representing; difficult; landscape; overwhelming; abandoned; articulate; carefully; cartography; commissioned,単一の長語率指標のみ超過。低頻度語率と極低頻度語率は基準内で、日常語または題材の理解に必要な語を文脈付きで維持。
s492,8,Fantasy/stories,The Glassblower's Frozen Moments,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s493,9,Fantasy/stories,Bookbinder Who Sewed Together Broken Time,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s494,10,Fantasy/stories,Cartomancer Who Read the Future in Reverse,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s495,1,Nature and animals,A Duck on the Pond,vocabulary-review,low-frequency,approved-after-review,retain-topic-vocabulary,pond; ducks; eats; swims,単一の頻度指標のみ超過。固有の動植物名・科学語・文化語など、題材の核となる語を反復または説明のある文脈で維持。
s496,2,Nature and animals,Spider's Web,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s497,3,Nature and animals,Why Cats Purr,vocabulary-review,very-low-frequency,approved-after-review,retain-topic-vocabulary,purr,単一の頻度指標のみ超過。固有の動植物名・科学語・文化語など、題材の核となる語を反復または説明のある文脈で維持。
s498,6,Nature and animals,The Migration of Monarch Butterflies,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,butterflies; remarkable; monarchs; navigate; wintering; actually; combination; completing; continue; covering,単一の長語率指標のみ超過。低頻度語率と極低頻度語率は基準内で、日常語または題材の理解に必要な語を文脈付きで維持。
s499,5,Nature and animals,Hedgehog's Winter Sleep,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s500,6,Nature and animals,Elephant's Remarkable Trunk,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s501,7,Nature and animals,The Termite Mound's Natural Air Conditioning,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s502,8,Nature and animals,Cuttlefish's Remarkable Camouflage,vocabulary-review,very-low-frequency,approved-after-review,retain-topic-vocabulary,textural; camouflaging; chromatophores; colorblind; creature's; ocean's; papillae; replicating; sacs; skin's,単一の頻度指標のみ超過。固有の動植物名・科学語・文化語など、題材の核となる語を反復または説明のある文脈で維持。
s503,9,Nature and animals,Naked Mole Rat's Unusual Biology,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s504,10,Nature and animals,The Deep-Sea Anglerfish's Unusual Reproduction,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s505,1,World affairs,A Free Meal,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s506,2,World affairs,Free Bus Ride,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s507,3,World affairs,The Neighborhood Watch,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s508,4,World affairs,City's Free Repair Café,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s509,5,World affairs,Village That Adopted a River,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s510,6,World affairs,The Town That Banned Single-Use Plastic,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s511,7,World affairs,Region That Built Affordable Housing Together,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s512,8,World affairs,Nation That Requires Environmental Impact Voting,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s513,9,World affairs,The Federation That Shares Disaster Response Equipment,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s514,10,World affairs,Confederation That Rotates Its Capital City,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s515,1,Everyday life,Breakfast Together,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s516,2,Everyday life,The Family Recipe Box,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,generations; alongside; celebration; choosing; collected; continuing; daughter; gathering; inherited; meaningful,単一の長語率指標のみ超過。低頻度語率と極低頻度語率は基準内で、日常語または題材の理解に必要な語を文脈付きで維持。
s517,3,Everyday life,Overgrown Backyard,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s518,4,Everyday life,Neighborhood Book Exchange,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s519,5,Everyday life,The Stranger Who Returned a Wallet,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s520,6,Everyday life,Retirement Party That Almost Didn't Happen,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,colleagues; attention; celebration; elaborate; gathering; preferences; recognition; uncomfortable; acknowledgment; admitted,単一の長語率指標のみ超過。低頻度語率と極低頻度語率は基準内で、日常語または題材の理解に必要な語を文脈付きで維持。
s521,7,Everyday life,Apartment Building's Unofficial Historian,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,resident; building's; accumulated; building; detailed; document; fascinated; knowledge; learning; properly,単一の長語率指標のみ超過。低頻度語率と極低頻度語率は基準内で、日常語または題材の理解に必要な語を文脈付きで維持。
s522,8,Everyday life,The Widower's New Sunday Ritual,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s523,9,Everyday life,House That Held Three Generations of Arguments,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s524,10,Everyday life,Correspondence That Spanned a War and Outlasted It,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s525,1,History,The Old Wagon,vocabulary-review,low-frequency,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s526,2,History,Village Blacksmith,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s527,4,History,Traveling Storyteller,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s528,4,History,The Winter Market,vocabulary-review,,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s529,5,History,Apprentice Who Became a Master,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s530,6,History,Plague Doctor's Notebook,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s531,8,History,The Merchant Fleet That Sailed Without Maps,vocabulary-review,very-low-frequency,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s532,8,History,Court Painter Who Recorded Dissent,vocabulary-review,,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s533,9,History,Cartographer Who Refused to Finish His Final Map,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s534,10,History,The Diplomat Whose Silence Ended a War,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s535,1,Science,Why Fire Is Hot,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s536,2,Science,Why Bread Gets Hard,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s537,3,Science,How Our Skin Protects Us,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,functions; temperature; actually; additionally; appreciate; appropriately; bacteria; contains; entering; environment,単一の長語率指標のみ超過。低頻度語率と極低頻度語率は基準内で、日常語または題材の理解に必要な語を文脈付きで維持。
s538,4,Science,How Airplanes Stay in the Air,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,airplane; compared; difference; powerful; pressure; achievement; airborne; airplane's; airplanes; carefully,単一の長語率指標のみ超過。低頻度語率と極低頻度語率は基準内で、日常語または題材の理解に必要な語を文脈付きで維持。
s539,5,Science,Science of Why We Get Goosebumps,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s540,6,Science,How Antibiotics Fight Bacteria,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s541,7,Science,Physics of Why We Feel Weightless in Free Fall,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s542,8,Science,Chemistry Behind Why Certain Foods Taste Better Together,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,chemical; combinations; culinary; analysis; compound; cultural; experience; scientists; traditional; appealing,単一の長語率指標のみ超過。低頻度語率と極低頻度語率は基準内で、日常語または題材の理解に必要な語を文脈付きで維持。
s543,9,Science,The Neuroscience of Why Music Gives Us Chills,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s544,10,Science,Quantum Mechanics of Why Certain Materials Become Superconductors,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s545,1,Famous books,Little Red Riding Hood,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s546,2,Famous books,The Emperor's New Clothes,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s547,3,Famous books,Pinocchio Runs Away from Home,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s548,4,Famous books,Jim Meets Long John Silver,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s549,5,Famous books,Beth and the Quiet Piano,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s550,6,Famous books,Escape from the Château d'If,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s551,7,Famous books,The Portrait Begins to Change,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s552,8,Famous books,The Count Learns to Show Mercy,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s553,9,Famous books,Pip Reconsiders What Makes a Gentleman,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s554,10,Famous books,"Les Misérables: Law, Mercy, and Moral Change",within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s555,1,Fantasy/stories,The Fox With Two Tails,vocabulary-review,low-frequency,approved-after-review,retain-topic-vocabulary,tails; foxes,単一の頻度指標のみ超過。固有の動植物名・科学語・文化語など、題材の核となる語を反復または説明のある文脈で維持。
s556,1,Fantasy/stories,Talking Rock,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s557,2,Fantasy/stories,Shoemaker's Extra Pair,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,believing; continued; explained; kindness; neighbors; remainder; shoemaker; throughout; traveling; wondering,単一の長語率指標のみ超過。低頻度語率と極低頻度語率は基準内で、日常語または題材の理解に必要な語を文脈付きで維持。
s558,2,Fantasy/stories,The Cloud Shepherd,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s559,3,Fantasy/stories,Wishing Bench,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s560,3,Fantasy/stories,Painter's Missing Color,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,paintings; searching; traveling; actually; beautiful; carefully; complete; considered; containing; continuing,単一の長語率指標のみ超過。低頻度語率と極低頻度語率は基準内で、日常語または題材の理解に必要な語を文脈付きで維持。
s561,4,Fantasy/stories,The Locksmith's Final Key,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,professional; accomplishment; accumulated; achievement; admitting; carefully; carrying; cherished; considerable; considered,単一の長語率指標のみ超過。低頻度語率と極低頻度語率は基準内で、日常語または題材の理解に必要な語を文脈付きで維持。
s562,4,Fantasy/stories,Weathervane That Remembered,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s563,5,Fantasy/stories,Cobbler Who Mended Time,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,continued; customers; mechanism; repaired; something; throughout; attached; believing; businesses; carefully,単一の長語率指標のみ超過。低頻度語率と極低頻度語率は基準内で、日常語または題材の理解に必要な語を文脈付きで維持。
s564,5,Fantasy/stories,The Baker Who Kneaded Memories,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s565,6,Fantasy/stories,Cartwright Who Built Roads to Nowhere,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s566,6,Fantasy/stories,Weaver's Loom of Quiet Places,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s567,7,Fantasy/stories,The Apothecary Who Bottled Courage,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s568,7,Fantasy/stories,Chandler Who Sold Borrowed Light,vocabulary-review,low-frequency,approved-after-review,retain-topic-vocabulary,candles; candle; crafted; daylight; frightening; mentioning; sailors; voyages; afternoons; borrowed,単一の頻度指標のみ超過。固有の動植物名・科学語・文化語など、題材の核となる語を反復または説明のある文脈で維持。
s569,8,Fantasy/stories,Instrument Maker Who Tuned Grief,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s570,8,Fantasy/stories,The Mapmaker Who Charted Regret,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s571,9,Fantasy/stories,Glazier Who Trapped Sunsets,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s572,9,Fantasy/stories,Silversmith Who Forged Second Voices,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s573,10,Fantasy/stories,The Bell Founder Who Cast Forgiveness,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s574,10,Fantasy/stories,Archivist Who Catalogued Unspoken Apologies,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s575,1,Nature and animals,A Rabbit in the Grass,vocabulary-review,low-frequency,approved-after-review,retain-topic-vocabulary,hears; hides; jumps,単一の頻度指標のみ超過。固有の動植物名・科学語・文化語など、題材の核となる語を反復または説明のある文脈で維持。
s576,1,Nature and animals,The Little Ant,vocabulary-review,low-frequency,approved-after-review,retain-topic-vocabulary,ant; ants,単一の頻度指標のみ超過。固有の動植物名・科学語・文化語など、題材の核となる語を反復または説明のある文脈で維持。
s577,2,Nature and animals,Woodpecker's Loud Knock,vocabulary-review,very-low-frequency,approved-after-review,retain-topic-vocabulary,tree's; woodpecker,単一の頻度指標のみ超過。固有の動植物名・科学語・文化語など、題材の核となる語を反復または説明のある文脈で維持。
s578,2,Nature and animals,Turtle's Slow Journey,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s579,3,Nature and animals,The Clever Crow's Trick,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s580,3,Nature and animals,Bat's Nighttime Feast,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s581,4,Nature and animals,How Salmon Find Their Way Home,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s582,4,Nature and animals,The Chameleon's Sticky Tongue,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s583,5,Nature and animals,Remarkable Homing Ability of Pigeons,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,direction; distances; environmental; navigation; reliable; remarkable; research; researchers; attempting; capability,単一の長語率指標のみ超過。低頻度語率と極低頻度語率は基準内で、日常語または題材の理解に必要な語を文脈付きで維持。
s584,5,Nature and animals,Praying Mantis's Patient Hunting Strategy,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
